ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Budżet Państwa
0001;;a;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;;;1536381
0001-0001;0001;b;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej;;;151833
0001-0001-0001;0001-0001;c;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;;;130148
0001-0001-0001-0001;0001-0001-0001;d;Dysponent;Kancelaria Prezydenta RP;01;;130148
0001-0001-0002;0001-0001;c;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;;;4960
0001-0001-0002-0001;0001-0001-0002;d;Dysponent;Kancelaria Prezydenta RP;01;;4960
0001-0001-0003;0001-0001;c;Podzadanie 1.1.3;Obsługa merytoryczna Biura Bezpieczeństwa Narodowego;;;16725
0001-0001-0003-0001;0001-0001-0003;d;Dysponent;Kancelaria Prezydenta RP;01;;16725
0001-0002;0001;b;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;;;445085
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;;;62815
0001-0002-0001-0001;0001-0002-0001;d;Dysponent;Kancelaria Sejmu;02;;50426
0001-0002-0001-0002;0001-0002-0001;d;Dysponent;Kancelaria Senatu;03;;12389
0001-0002-0002;0001-0002;c;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;;;382270
0001-0002-0002-0001;0001-0002-0002;d;Dysponent;Kancelaria Sejmu;02;;329750
0001-0002-0002-0002;0001-0002-0002;d;Dysponent;Kancelaria Senatu;03;;52520
0001-0003;0001;b;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;;;104736
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;;;63232
0001-0003-0001-0001;0001-0003-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;63232
0001-0003-0002;0001-0003;c;Podzadanie 1.3.2;Obsługa prawna Rady Ministrów;;;19812
0001-0003-0002-0001;0001-0003-0002;d;Dysponent;Rządowe Centrum Legislacji;75;;19812
0001-0003-0003;0001-0003;c;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;;;16760
0001-0003-0003-0001;0001-0003-0003;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;16760
0001-0003-0004;0001-0003;c;Podzadanie 1.3.4;Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``;;;4932
0001-0003-0004-0001;0001-0003-0004;d;Dysponent;Rządowe Centrum Legislacji;75;;4932
0001-0004;0001;b;Zadanie 1.4;Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym;;;22598
0001-0004-0001;0001-0004;c;Podzadanie 1.4.1;Działalność orzecznicza Trybunału Konstytucyjnego;;;7630
0001-0004-0001-0001;0001-0004-0001;d;Dysponent;Trybunał Konstytucyjny;06;;7630
0001-0004-0002;0001-0004;c;Podzadanie 1.4.2;Obsługa i koordynacja prac Trybunału Konstytucyjnego;;;14968
0001-0004-0002-0001;0001-0004-0002;d;Dysponent;Trybunał Konstytucyjny;06;;14968
0001-0005;0001;b;Zadanie 1.5;Organizacja i przeprowadzanie wyborów;;;228333
0001-0005-0001;0001-0005;c;Podzadanie 1.5.1;Wybory Prezydenta Rzeczpospolitej Polskiej;;;0
0001-0005-0001-0001;0001-0005-0001;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0002;0001-0005;c;Podzadanie 1.5.2;Wybory do Sejmu i Senatu;;;0
0001-0005-0002-0001;0001-0005-0002;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004;0001-0005;c;Podzadanie 1.5.4;Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;;;121
0001-0005-0004-0001;0001-0005-0004;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004-0002;0001-0005-0004;d;Dysponent;Wojewodowie;85;;121
0001-0005-0005;0001-0005;c;Podzadanie 1.5.5;Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych;;;0
0001-0005-0005-0001;0001-0005-0005;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0006;0001-0005;c;Podzadanie 1.5.6;Finansowanie partii politycznych;;;228212
0001-0005-0006-0001;0001-0005-0006;d;Dysponent;Ministerstwo Finansów;19;;228212
0001-0006;0001;b;Zadanie 1.6;Nadzór nad systemem zamówień publicznych;;;12449
0001-0006-0001;0001-0006;c;Podzadanie 1.6.1;Nadzór nad przestrzeganiem zasad systemu zamówień w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą;;;6390
0001-0006-0001-0001;0001-0006-0001;d;Dysponent;Urząd Zamówień Publicznych;49;;6390
0001-0006-0002;0001-0006;c;Podzadanie 1.6.2;System odwołań;;;6059
0001-0006-0002-0001;0001-0006-0002;d;Dysponent;Urząd Zamówień Publicznych;49;;6059
0001-0007;0001;b;Zadanie 1.7;Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK;;;275124
0001-0007-0001;0001-0007;c;Podzadanie 1.7.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;232860
0001-0007-0001-0001;0001-0007-0001;d;Dysponent;Najwyższa Izba Kontroli;07;;232860
0001-0007-0002;0001-0007;c;Podzadanie 1.7.2;Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych;;;3013
0001-0007-0002-0001;0001-0007-0002;d;Dysponent;Najwyższa Izba Kontroli;07;;3013
0001-0007-0003;0001-0007;c;Podzadanie 1.7.3;Wykonywanie nie kontrolnych funkcji naczelnego organu kontroli państwowej;;;17587
0001-0007-0003-0001;0001-0007-0003;d;Dysponent;Najwyższa Izba Kontroli;07;;17587
0001-0007-0004;0001-0007;c;Podzadanie 1.7.4;Zarządzanie kapitałem ludzkim;;;21664
0001-0007-0004-0001;0001-0007-0004;d;Dysponent;Najwyższa Izba Kontroli;07;;21664
0001-0008;0001;b;Zadanie 1.8;Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji;;;9993
0001-0008-0001;0001-0008;c;Podzadanie 1.8.1;Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych;;;3290
0001-0008-0001-0001;0001-0008-0001;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;3290
0001-0008-0002;0001-0008;c;Podzadanie 1.8.2;Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów;;;4660
0001-0008-0002-0001;0001-0008-0002;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;4660
0001-0008-0003;0001-0008;c;Podzadanie 1.8.3;Działalność KRRiT w zakresie środków abonamentowych;;;2043
0001-0008-0003-0001;0001-0008-0003;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;2043
0001-0009;0001;b;Zadanie 1.9;Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna;;;182556
0001-0009-0001;0001-0009;c;Podzadanie 1.9.1;Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN;;;124046
0001-0009-0001-0001;0001-0009-0001;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;124046
0001-0009-0002;0001-0009;c;Podzadanie 1.9.2;Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych;;;30621
0001-0009-0002-0001;0001-0009-0002;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;30621
