ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
12;;Województwo;Małopolskie;;;;;;149334605.42;141654311.16;129333593.39;117368646.03;;;;;;;;;;;;;
12-1;12;Projekt;Kapitał na innowacje;POIG.03.01.00-00-014/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;2,069,801.18;2,069,801.18;2,069,801.18;1,759,331.01;Małopolska Agencja Rozwoju Regionalnego S.A.;6760058847;31-542;Kraków;Małopolskie;Powiat m. Kraków;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIG.03.01.00-00-014/08-08;Nie;2011/03/03;2011/04/08
18;;Województwo;Podkarpackie;;;;;;412093899.25;359289550.11;341917818.63;302369172.3;;;;;;;;;;;;;
18-1;18;Projekt;Kapitał na innowacje;POIG.03.01.00-00-014/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;2,069,801.18;2,069,801.18;2,069,801.18;1,759,331.01;Małopolska Agencja Rozwoju Regionalnego S.A.;6760058847;31-542;Kraków;Małopolskie;Powiat m. Kraków;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIG.03.01.00-00-014/08-08;Nie;2011/03/03;2011/04/08
24;;Województwo;Śląskie;;;;;;359013485.49;311843432.01;291039507.81;270961150.83;;;;;;;;;;;;;
24-1;24;Projekt;Kapitał na innowacje;POIG.03.01.00-00-014/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;2,069,801.18;2,069,801.18;2,069,801.18;1,759,331.01;Małopolska Agencja Rozwoju Regionalnego S.A.;6760058847;31-542;Kraków;Małopolskie;Powiat m. Kraków;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIG.03.01.00-00-014/08-08;Nie;2011/03/03;2011/04/08
26;;Województwo;Świętokrzyskie;;;;;;247298299.22;211645439.61;193487172.2;176489243.66;;;;;;;;;;;;;
26-1;26;Projekt;Kapitał na innowacje;POIG.03.01.00-00-014/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.01.00;;2,069,801.18;2,069,801.18;2,069,801.18;1,759,331.01;Małopolska Agencja Rozwoju Regionalnego S.A.;6760058847;31-542;Kraków;Małopolskie;Powiat m. Kraków;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;POIG.03.01.00-00-014/08-08;Nie;2011/03/03;2011/04/08
02;;Województwo;Dolnośląskie;;;;;;309307370.67;246790545.3;238525142.13;209771963.48;;;;;;;;;;;;;
02-1;02;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
04;;Województwo;Kujawsko-pomorskie;;;;;;27055468.38;26939573.56;26837439.14;22898637.52;;;;;;;;;;;;;
04-1;04;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
08;;Województwo;Lubuskie;;;;;;14194572.29;14194572.29;13504572.29;13428886.45;;;;;;;;;;;;;
08-1;08;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
22;;Województwo;Pomorskie;;;;;;293941164.09;288389527.04;283971568.68;243455726.75;;;;;;;;;;;;;
22-1;22;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
30;;Województwo;Wielkopolskie;;;;;;569793844.38;525877426.09;525573690.02;421105916.7;;;;;;;;;;;;;
30-1;30;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
32;;Województwo;Zachodniopomorskie;;;;;;329192101.15;283493816.56;257063747.73;242437283.92;;;;;;;;;;;;;
32-1;32;Projekt;Sieć Aniołów Biznesu „Amber” w Polsce Północno-Zachodniej;POIG.03.03.01-00-867/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.03.00;POIG.03.03.01;504,572.29;504,572.29;504,572.29;428,886.45;Polska Fundacja Przedsiębiorczości ;8512242911;71-295;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;fundacja;00 Nie dotyczy;;;2011/04/01;2011/05/11
28;;Województwo;Warmińsko-mazurskie;;;;;;432352017.59;335144317.71;305788287.2;300701350.04;;;;;;;;;;;;;
28-1;28;Projekt;System zagospodarowania odpadów komunalnych w Olsztynie. Budowa Zakładu Unieszkodliwiania Odpadów.;POIS.02.01.00-00-007/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;284,983,183.05;191,499,946.02;162,774,954.11;162,774,954.11;Zakład Gospodarki Odpadami Komunalnymi Sp. z o.o.;7392954369;10-410;Olsztyn;Warmińsko-mazurskie;Powiat m. Olsztyn;44 Gospodarka odpadami komunalnymi i przemysłowymi;spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo;00 Nie dotyczy;;;2011/04/27;2011/04/28
22-2;22;Projekt;Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ;POIS.05.01.00-00-041/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,136,512.50;2,705,452.37;2,299,634.51;2,299,634.51;WWF Polska Światowy Fundusz Na Rzecz Przyrody;5213241055;02-520;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.01.00-00-041/08-06;Nie;2011/01/27;2011/01/28
32-2;32;Projekt;Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ;POIS.05.01.00-00-041/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,136,512.50;2,705,452.37;2,299,634.51;2,299,634.51;WWF Polska Światowy Fundusz Na Rzecz Przyrody;5213241055;02-520;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.01.00-00-041/08-06;Nie;2011/01/27;2011/01/28
02-2;02;Projekt;Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.;POIS.05.01.00-00-045/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;200,696.00;191,668.00;162,917.80;162,917.80;"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";7781009642;60-514;Poznań;Wielkopolskie;Powiat m. Poznań;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-045/08-04;Nie;2011/05/05;2011/05/10
16;;Województwo;Opolskie;;;;;;15720059.3;14270981.3;12130326.11;12130326.11;;;;;;;;;;;;;
16-1;16;Projekt;Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.;POIS.05.01.00-00-045/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;200,696.00;191,668.00;162,917.80;162,917.80;"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";7781009642;60-514;Poznań;Wielkopolskie;Powiat m. Poznań;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-045/08-04;Nie;2011/05/05;2011/05/10
24-2;24;Projekt;Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.;POIS.05.01.00-00-045/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;200,696.00;191,668.00;162,917.80;162,917.80;"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";7781009642;60-514;Poznań;Wielkopolskie;Powiat m. Poznań;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-045/08-04;Nie;2011/05/05;2011/05/10
18-2;18;Projekt;Budowa obiektów małej infrastruktury drewnianej w Bieszczadzkim Parku Narodowym;POIS.05.01.00-00-161/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;2,714,381.65;2,714,381.65;2,714,381.65;2,307,224.40;Bieszczadzki Park Narodowy;6890002420;38-714;Ustrzyki Górne;Podkarpackie;Powiat bieszczadzki;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);państwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.01.00-00-161/09-02;Nie;2011/03/28;2011/03/31
02-3;02;Projekt;Trwałe zachowanie zagrożonych siedlisk i motyli w sieci Natura 2000 w Południowo - Zachodniej Polsce;POIS.05.01.00-00-212/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;1,708,323.10;1,708,323.10;1,452,074.64;1,452,074.64;Stowarzyszenie Ekologiczne Eko-Unia;9541980345;50-134;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-212/09-01;Nie;2011/04/20;2011/04/21
16-2;16;Projekt;Trwałe zachowanie zagrożonych siedlisk i motyli w sieci Natura 2000 w Południowo - Zachodniej Polsce;POIS.05.01.00-00-212/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;1,708,323.10;1,708,323.10;1,452,074.64;1,452,074.64;Stowarzyszenie Ekologiczne Eko-Unia;9541980345;50-134;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-212/09-01;Nie;2011/04/20;2011/04/21
