ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
10;;Województwo;£ódzkie;;;;;;11914578.0;11914578.0;10127391.0;10127391.0;;;;;;;;;;;;;
10-1;10;Projekt;Roczny Plan Realizacji Dzia³añ na rok 2008 w ramach Pomocy Technicznej Regionalnego Programu Operacyjnego Województwa £ódzkiego;RPLD.07.01.00-00-001/08-05;Regionalny Program Operacyjny Województwa £ódzkiego;RPLD.07.00.00;RPLD.07.01.00;;11,914,578.00;11,914,578.00;10,127,391.00;10,127,391.00;Urz¹d Marsza³kowski w £odzi;7251708148;90-051;£ódŸ;£ódzkie;Powiat m. £ódŸ;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2008/12/30;2009/06/24
14;;Województwo;Mazowieckie;;;;;;3840476.0;3840476.0;3264404.6;3264404.6;;;;;;;;;;;;;
14-1;14;Projekt;ROCZNY PLAN DZIA£AÑ POMOCY TECHNICZNEJ RPO WM na 2008 rok. w zakresie wsparcia procesów zarz¹dzania i wdra¿ania RPO WM;RPMA.08.01.00-14-005/08-01;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.01.00;;3,840,476.00;3,840,476.00;3,264,404.60;3,264,404.60;Urz¹d Marsza³kowski Województwa Mazowieckiego;5252087227;03-719;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.01.00-14-005/08-04;Tak;2008/12/02;2008/12/05
12;;Województwo;Ma³opolskie;;;;;;982350.0;980350.0;833297.0;833297.0;;;;;;;;;;;;;
12-1;12;Projekt;Pomoc Techniczna Priorytet 9 MRPO - delegacje zagraniczne;RPMP.09.01.00-12-021/08-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;22,350.00;22,350.00;18,997.00;18,997.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-021/08-06;Tak;2008/07/03;2008/08/20
12-2;12;Projekt;Pomoc Techniczna Priorytet 9 MRPO - Podró¿e s³u¿bowe;RPMP.09.02.00-12-018/08-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.02.00;;12,000.00;12,000.00;10,200.00;10,200.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-018/08-08;Tak;2008/05/29;2008/08/21
12-3;12;Projekt;"Dzia³alnoœæ informacyjno - promocyjna Instytucji Poœrednicz¹cej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - Priorytet 9 PT MRPO";RPMP.09.02.00-12-020/08-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.02.00;;350,000.00;350,000.00;297,500.00;297,500.00;Ma³opolskie Centrum Przedsiêbiorczoœci;6751378475;31-542;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-020/08-08;Tak;2008/05/08;2008/08/20
12-4;12;Projekt;"Dzia³alnoœæ informacyjno - promocyjna Instytuacji Poœrednicz¹cej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - w 2009 roku - PT MRPO";RPMP.09.02.00-12-038/09-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.02.00;;598,000.00;596,000.00;506,600.00;506,600.00;Ma³opolskie Centrum Przedsiêbiorczoœci;6751378475;31-542;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-038/09-12;Tak;2008/12/22;2009/02/04
22;;Województwo;Pomorskie;;;;;;6928151.94;6928151.94;5196113.93;5196113.93;;;;;;;;;;;;;
