ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
22;;Województwo;Pomorskie;;;;;;166786287.9;129178004.13;107728191.48;107728191.48;;;;;;;;;;;;;
22-04;22;Powiat;Powiat gdański;;;;;;36630062.25;27494247.3;23370110.2;23370110.2;;;;;;;;;;;;;
22-04-1;22-04;Projekt;Regionalny System Gospodarki Odpadami Tczew.;POIS.02.01.00-00-006/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;36,630,062.25;27,494,247.30;23,370,110.20;23,370,110.20;Zakład Utylizacji Odpadów Stałych Sp. z o.o.;5932268695;83-110;Tczew;Pomorskie;Powiat tczewski;44 Gospodarka odpadami komunalnymi i przemysłowymi;spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIS.02.01.00-00-006/08-03;Nie;2010/05/12;2010/05/14
22-09;22;Powiat;Powiat malborski;;;;;;37500359.0;28364544.05;24109862.44;24109862.44;;;;;;;;;;;;;
22-09-1;22-09;Projekt;Regionalny System Gospodarki Odpadami Tczew.;POIS.02.01.00-00-006/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;36,630,062.25;27,494,247.30;23,370,110.20;23,370,110.20;Zakład Utylizacji Odpadów Stałych Sp. z o.o.;5932268695;83-110;Tczew;Pomorskie;Powiat tczewski;44 Gospodarka odpadami komunalnymi i przemysłowymi;spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIS.02.01.00-00-006/08-03;Nie;2010/05/12;2010/05/14
22-10;22;Powiat;Powiat nowodworski;;;;;;36800359.0;27664544.05;23514862.44;23514862.44;;;;;;;;;;;;;
22-10-1;22-10;Projekt;Regionalny System Gospodarki Odpadami Tczew.;POIS.02.01.00-00-006/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;36,630,062.25;27,494,247.30;23,370,110.20;23,370,110.20;Zakład Utylizacji Odpadów Stałych Sp. z o.o.;5932268695;83-110;Tczew;Pomorskie;Powiat tczewski;44 Gospodarka odpadami komunalnymi i przemysłowymi;spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIS.02.01.00-00-006/08-03;Nie;2010/05/12;2010/05/14
22-14;22;Powiat;Powiat tczewski;;;;;;42033564.25;32344967.3;25420110.2;25420110.2;;;;;;;;;;;;;
22-14-1;22-14;Projekt;Regionalny System Gospodarki Odpadami Tczew.;POIS.02.01.00-00-006/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;36,630,062.25;27,494,247.30;23,370,110.20;23,370,110.20;Zakład Utylizacji Odpadów Stałych Sp. z o.o.;5932268695;83-110;Tczew;Pomorskie;Powiat tczewski;44 Gospodarka odpadami komunalnymi i przemysłowymi;spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIS.02.01.00-00-006/08-03;Nie;2010/05/12;2010/05/14
20;;Województwo;Podlaskie;;;;;;107414525.27;93997908.8;87509203.22;78050823.49;;;;;;;;;;;;;
20-14;20;Powiat;Powiat zambrowski;;;;;;38819469.2;25402852.73;21592424.82;21592424.82;;;;;;;;;;;;;
20-14-1;20-14;Projekt;Budowa Zakładu Przetwarzania i Unieszkodliwiania Odpadów w Czerwonym Borze, Gmina Zambrów;POIS.02.01.00-00-007/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.02.00.00;POIS.02.01.00;;38,819,469.20;25,402,852.73;21,592,424.82;21,592,424.82;Gmina Miasto Zambrów;7231001664;18-300;Zambrów;Podlaskie;Powiat wysokomazowiecki / Powiat zambrowski;44 Gospodarka odpadami komunalnymi i przemysłowymi;wspólnota samorządowa - gmina;00 Nie dotyczy;POIS.02.01.00-00-007/08-03;Nie;2010/03/24;2010/03/29
02;;Województwo;Dolnośląskie;;;;;;17408081.07;17389781.07;14947816.97;14179243.97;;;;;;;;;;;;;
02-08;02;Powiat;Powiat kłodzki;;;;;;2003411.8;2003411.8;1702900.0;1702900.0;;;;;;;;;;;;;
02-08-1;02-08;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;943,411.80;943,411.80;801,900.00;801,900.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
02-24;02;Powiat;Powiat ząbkowicki;;;;;;943411.8;943411.8;801900.0;801900.0;;;;;;;;;;;;;
02-24-1;02-24;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;943,411.80;943,411.80;801,900.00;801,900.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
12;;Województwo;Małopolskie;;;;;;291546842.26;272393158.49;194100176.09;186391067.9;;;;;;;;;;;;;
12-01;12;Powiat;Powiat bocheński;;;;;;1613938.24;1601938.24;1361647.5;1361647.5;;;;;;;;;;;;;
12-01-1;12-01;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;125,788.24;125,788.24;106,920.00;106,920.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
12-03;12;Powiat;Powiat chrzanowski;;;;;;25262691.51;22346943.16;17214744.18;16328150.01;;;;;;;;;;;;;
12-03-1;12-03;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;125,788.24;125,788.24;106,920.00;106,920.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
12-05;12;Powiat;Powiat gorlicki;;;;;;37551649.31;34539344.31;23606654.35;22197437.35;;;;;;;;;;;;;
12-05-1;12-05;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;125,788.24;125,788.24;106,920.00;106,920.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
12-06;12;Powiat;Powiat krakowski;;;;;;23971933.77;20741589.42;14963684.34;14963684.34;;;;;;;;;;;;;
12-06-1;12-06;Projekt;Ochrona podkowca małego w Polsce;POIS.05.01.00-00-027/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;125,788.24;125,788.24;106,920.00;106,920.00;"Polskie Towarzystwo Przyjaciół Przyrody ""pro Natura""";8961000175;50-449;Wrocław;Dolnośląskie;Powiat m. Wrocław;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;POIS.05.01.00-00-027/08-09;Nie;2010/03/30;2010/08/27
12-07;12;Powiat;Powiat limanowski;;;;;;13641198.9;13641198.9;9394176.51;9394176.51;;;;;;;;;;;;;
