ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0001;;a;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;;;25140
0001-0001;0001;b;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej;;;0
0001-0001-0001;0001-0001;c;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;;;0
0001-0001-0001-0001;0001-0001-0001;d;Dysponent;Kancelaria Prezydenta RP;01;;0
0001-0001-0002;0001-0001;c;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;;;0
0001-0001-0002-0001;0001-0001-0002;d;Dysponent;Kancelaria Prezydenta RP;01;;0
0001-0001-0003;0001-0001;c;Podzadanie 1.1.3;Obsługa merytoryczna Biura Bezpieczeństwa Narodowego;;;0
0001-0001-0003-0001;0001-0001-0003;d;Dysponent;Kancelaria Prezydenta RP;01;;0
0001-0002;0001;b;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;;;0
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;;;0
0001-0002-0001-0001;0001-0002-0001;d;Dysponent;Kancelaria Sejmu;02;;0
0001-0002-0001-0002;0001-0002-0001;d;Dysponent;Kancelaria Senatu;03;;0
0001-0002-0002;0001-0002;c;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;;;0
0001-0002-0002-0001;0001-0002-0002;d;Dysponent;Kancelaria Sejmu;02;;0
0001-0002-0002-0002;0001-0002-0002;d;Dysponent;Kancelaria Senatu;03;;0
0001-0003;0001;b;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;;;24186
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;;;0
0001-0003-0001-0001;0001-0003-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
0001-0003-0002;0001-0003;c;Podzadanie 1.3.2;Obsługa prawna Rady Ministrów;;;296
0001-0003-0002-0001;0001-0003-0002;d;Dysponent;Rządowe Centrum Legislacji;75;;296
0001-0003-0003;0001-0003;c;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;;;23832
0001-0003-0003-0001;0001-0003-0003;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;23832
0001-0003-0004;0001-0003;c;Podzadanie 1.3.4;Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``;;;58
0001-0003-0004-0001;0001-0003-0004;d;Dysponent;Rządowe Centrum Legislacji;75;;58
0001-0004;0001;b;Zadanie 1.4;Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym;;;0
0001-0004-0001;0001-0004;c;Podzadanie 1.4.1;Działalność orzecznicza Trybunału Konstytucyjnego;;;0
0001-0004-0001-0001;0001-0004-0001;d;Dysponent;Trybunał Konstytucyjny;06;;0
0001-0004-0002;0001-0004;c;Podzadanie 1.4.2;Obsługa i koordynacja prac Trybunału Konstytucyjnego;;;0
0001-0004-0002-0001;0001-0004-0002;d;Dysponent;Trybunał Konstytucyjny;06;;0
0001-0005;0001;b;Zadanie 1.5;Organizacja i przeprowadzanie wyborów;;;0
0001-0005-0001;0001-0005;c;Podzadanie 1.5.1;Wybory Prezydenta Rzeczpospolitej Polskiej;;;0
0001-0005-0001-0001;0001-0005-0001;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0002;0001-0005;c;Podzadanie 1.5.2;Wybory do Sejmu i Senatu;;;0
0001-0005-0002-0001;0001-0005-0002;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004;0001-0005;c;Podzadanie 1.5.4;Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;;;0
0001-0005-0004-0001;0001-0005-0004;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0004-0002;0001-0005-0004;d;Dysponent;Wojewodowie;85;;0
0001-0005-0005;0001-0005;c;Podzadanie 1.5.5;Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych;;;0
0001-0005-0005-0001;0001-0005-0005;d;Dysponent;Krajowe Biuro Wyborcze;11;;0
0001-0005-0006;0001-0005;c;Podzadanie 1.5.6;Finansowanie partii politycznych;;;0
0001-0005-0006-0001;0001-0005-0006;d;Dysponent;Ministerstwo Finansów;19;;0
0001-0006;0001;b;Zadanie 1.6;Nadzór nad systemem zamówień publicznych;;;454
0001-0006-0001;0001-0006;c;Podzadanie 1.6.1;Nadzór nad przestrzeganiem zasad systemu zamówień w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą;;;454
0001-0006-0001-0001;0001-0006-0001;d;Dysponent;Urząd Zamówień Publicznych;49;;454
0001-0006-0002;0001-0006;c;Podzadanie 1.6.2;System odwołań;;;0
0001-0006-0002-0001;0001-0006-0002;d;Dysponent;Urząd Zamówień Publicznych;49;;0
0001-0007;0001;b;Zadanie 1.7;Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK;;;0
0001-0007-0001;0001-0007;c;Podzadanie 1.7.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;0
0001-0007-0001-0001;0001-0007-0001;d;Dysponent;Najwyższa Izba Kontroli;07;;0
0001-0007-0002;0001-0007;c;Podzadanie 1.7.2;Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych;;;0
