ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33;;Ca³y kraj;Ca³y kraj;;;;;;151859130.73;139436437.59;90588004.19;77814950.12;;;;;;;;;;;;;
33-1;33;Projekt;Innowacyjne zmiany w procesie produkcji papieru higienicznego z makulatury i produktów w firmie LAMIX;POIG.04.04.00-08-010/08-10;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;35,813,760.00;30,778,779.75;18,467,267.85;15,697,177.67;Prywatne Przedsiêbiorstwo Produkcyjno-Handlowe LAMIX Miros³aw Laszko;5990105550;66-460;Witnica;Lubuskie;Powiat gorzowski;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);osoba fizyczna prowadz¹ca dzia³alnoœæ gospodarcz¹ - œrednie przedsiêbiorstwo;00 Nie dotyczy;;;2008/12/30;2011/05/23
33-2;33;Projekt;"Inwestycje w ""Technologie Ekologiczne""";POIG.04.04.00-10-020/08-10;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;28,434,540.00;23,307,000.00;16,314,900.00;13,867,665.00;"""Technologie Ekologiczne"" Zbigniew Tokarz";7751675133;97-410;Bogumi³ów;£ódzkie;Powiat be³chatowski;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);osoba fizyczna prowadz¹ca dzia³alnoœæ gospodarcz¹ - mikro przedsiêbiorstwo;00 Nie dotyczy;;;2008/12/30;2011/04/12
33-3;33;Projekt;Wdro¿enie us³ugi szerokopasmowego dostêpu radiowego w technologii LMDS 28 MHz.;POIG.04.04.00-14-022/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;11,312,376.80;9,052,203.91;3,620,881.56;3,077,749.33;Crowley Data Poland sp. z o.o.;5262207584;00-193;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);spó³ka z ograniczon¹ odpowiedzialnoœci¹ - œrednie przedsiêbiorstwo;00 Nie dotyczy;;;2008/12/30;2011/01/21
33-4;33;Projekt;Wdro¿enie innowacyjnej us³ugi przebudowy obiektów mostowych w 24h;POIG.04.04.00-14-058/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;38,590,838.65;38,590,838.65;15,436,335.46;13,120,885.14;GASTEL ¯URAWIE SA;9512032166;02-884;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);spó³ka akcyjna - œrednie przedsiêbiorstwo;00 Nie dotyczy;;;2008/12/30;2010/10/27
33-5;33;Projekt;Ewaluacja w ramach 7 i 8 osi priorytetowej PO IG w 2008 roku;POIG.09.04.00-00-002/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.04.00;;143,076.92;143,076.92;143,076.92;121,615.38;Ministerstwo Spraw Wewnêtrznych i Administracji;5210526030;02-591;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POIG.09.04.00-00-002/08-02;Tak;2008/11/27;2008/12/19
33-6;33;Projekt;Podnoszenie kwalifikacji pracowników Instytucji Certyfikuj¹cej i 16 Instytucji Poœrednicz¹cych w Certyfikacji zaanga¿owanych w proces certyfikacji wydatków do Komisji Europejskiej w 2007 i 2008 roku;POPT.01.02.00-00-039/08-01;Program Operacyjny Pomoc techniczna;POPT.01.00.00;POPT.01.02.00;;1,760,395.04;1,760,395.04;1,496,335.78;1,496,335.78;Ministerstwo Rozwoju Regionalnego, Departament Instytucji Certyfikuj¹cej, Instytucja Certyfikuj¹ca;5262895199;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POPT.01.02.00-00-039/08-05;Tak;2008/09/26;2008/10/20
33-7;33;Projekt;Podnoszenie kwalifikacji osób zaanga¿owanych we wdra¿anie instrumentów strukturalnych z zakresu polityki równych szans przy realizacji projektów wspó³finansowanych ze œrodków Unii Europejskiej;POPT.01.02.00-00-064/08-00;Program Operacyjny Pomoc techniczna;POPT.01.00.00;POPT.01.02.00;;230,000.00;230,000.00;195,500.00;195,500.00;Ministerstwo Rozwoju Regionalnego, Departament Programów Pomocowych i Pomocy Technicznej, Instytucja Zarz¹dzaj¹ca POPT;5262895199;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POPT.01.02.00-00-064/08-01;Tak;2008/09/03;2008/09/03
33-8;33;Projekt;Zakup infrastruktury informatycznej dla pracowników 16 Instytucji Poœrednicz¹cej w Certyfikacji zaanga¿owanych w proces certyfikacji wydatków do Komisji Europejskiej w latach 2007-2008;POPT.02.02.00-00-040/08-00;Program Operacyjny Pomoc techniczna;POPT.02.00.00;POPT.02.02.00;;1,366,059.00;1,366,059.00;1,161,150.15;1,161,150.15;Ministerstwo Rozwoju Regionalnego, Departament Instytucji Certyfikuj¹cej, Instytucja Certyfikuj¹ca;5262895199;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POPT.02.02.00-00-040/08-05;Tak;2008/03/11;2008/03/18
33-9;33;Projekt;Wsparcie funkcjonowania 16 Instytucji Poœrednicz¹cych w Certyfikacji oraz Instytucji Certyfikuj¹cej w latach 2007-2008;POPT.03.01.00-00-041/08-01;Program Operacyjny Pomoc techniczna;POPT.03.00.00;POPT.03.01.00;;1,636,724.53;1,636,724.53;1,391,215.85;1,391,215.85;Ministerstwo Rozwoju Regionalnego, Departament Instytucji Certyfikuj¹cej, Instytucja Certyfikuj¹ca;5262895199;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POPT.03.01.00-00-041/08-05;Tak;2008/09/26;2008/10/20
