ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0001;;a;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;0
0001-0001;0001;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;0
0001-0001-0001;0001-0001;c;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;0
0001-0001-0001-0001;0001-0001-0001;d;Podzadanie 2.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;0
0001-0001-0001-0001-0001;0001-0001-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;0
0001-0002;0001;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0001-0002-0001;0001-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0001-0002-0001-0001;0001-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0001-0002-0001-0001-0001;0001-0002-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;0
0001-0003;0001;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0001-0003-0001;0001-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0001-0003-0001-0001;0001-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0001-0003-0001-0001-0001;0001-0003-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;0
0002;;a;Dysponent;Agencja Wywiadu;0
0002-0001;0002;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0002-0001-0001;0002-0001;c;Zadanie 11.3;Wsparcie wywiadowcze i ochrona kontrwywiadowcza;0
0002-0001-0001-0001;0002-0001-0001;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;0
0002-0001-0001-0001-0001;0002-0001-0001-0001;e;Część 59;AGENCJA WYWIADU;0
0003;;a;Dysponent;Centralne Biuro Antykorupcyjne;0
0003-0001;0003;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;0
