ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0001;;a;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;502307
0001-0001;0001;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;497682
0001-0001-0001;0001-0001;c;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;497682
0001-0001-0001-0001;0001-0001-0001;d;Podzadanie 2.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;497682
0001-0001-0001-0001-0001;0001-0001-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;497682
0001-0002;0001;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;33
0001-0002-0001;0001-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;33
0001-0002-0001-0001;0001-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;33
0001-0002-0001-0001-0001;0001-0002-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;33
0001-0003;0001;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;4592
0001-0003-0001;0001-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;4592
0001-0003-0001-0001;0001-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;4592
0001-0003-0001-0001-0001;0001-0003-0001-0001;e;Część 57;AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO;4592
0002;;a;Dysponent;Agencja Wywiadu;155726
0002-0001;0002;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;155726
0002-0001-0001;0002-0001;c;Zadanie 11.3;Wsparcie wywiadowcze i ochrona kontrwywiadowcza;155726
0002-0001-0001-0001;0002-0001-0001;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;155726
0002-0001-0001-0001-0001;0002-0001-0001-0001;e;Część 59;AGENCJA WYWIADU;155726
0003;;a;Dysponent;Centralne Biuro Antykorupcyjne;106971
0003-0001;0003;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;106971
0003-0001-0001;0003-0001;c;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;106971
0003-0001-0001-0001;0003-0001-0001;d;Podzadanie 2.2.2;Zwalczanie korupcji;106971
0003-0001-0001-0001-0001;0003-0001-0001-0001;e;Część 56;CENTRALNE BIURO ANTYKORUPCYJNE;106971
