ID;Rodzic;Poziom;Typ;Nazwa;Wydatki (w tys. zł) 2011 r.;Wydatki (w tys. zł) 2012 r.;Wydatki (w tys. zł) 2013 r.
0001;;a;FUNDUSZ 1;FUNDUSZ ROZWOJU KULTURY FIZYCZNEJ;565380;582020;599020
0001-0001;0001;b;Zadanie 1.1;Wydatki stałe*;380;20;20
0001-0002;0001;b;Zadanie 1.2;Popularyzacja i wspieranie rozwoju sportu dla wszystkich;54953;56353;57753
0001-0002-0001;0001-0002;c;Podzadanie 1.2.1;Upowszechnianie aktywności fizycznej dzieci i młodziezy;40528;41928;43328
0001-0002-0002;0001-0002;c;Podzadanie 1.2.2;Upowszechnianie sportu osób niepełnosprawnych;14425;14425;14425
0001-0003;0001;b;Zadanie 1.3;Wspieranie sportu kwalifikowanego;142797;147347;151897
0001-0003-0001;0001-0003;c;Podzadanie 1.3.1;Wspieranie sportu młodzieżowego;131797;135582;139367
0001-0003-0002;0001-0003;c;Podzadanie 1.3.2;Wspieranie współzawodnictwa sportowego osób niepełnosprawnych;11000;11765;12530
0001-0004;0001;b;Zadanie 1.4;Wspieranie infrastruktury sportowej;367250;378300;389350
0001-0004-0001;0001-0004;c;Podzadanie 1.4.1;Infrastruktura w sporcie powszechnym;183625;189150;194675
0001-0004-0002;0001-0004;c;Podzadanie 1.4.2;Infrastruktura w sporcie kwalifikowanym;183625;189150;194675
0002;;a;FUNDUSZ 2;FUNDUSZ ZAJĘĆ SPORTOWYCH DLA UCZNIÓW;14500;12000;12000
0002-0001;0002;b;Zadanie 2.1;Wydatki stałe *;4;4;4
0002-0002;0002;b;Zadanie 2.2;Popularyzacja i wspieranie rozwoju sportu dla wszystkich;14496;11996;11996
0002-0002-0001;0002-0002;c;Podzadanie 2.2.1;Upowszechnianie aktywności fizycznej dzieci i młodzieży;14496;11996;11996
0003;;a;FUNDUSZ 3;FUNDUSZ PRACY;8720617;10981556;10965768
0003-0001;0003;b;Zadanie 3.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;8720617;10981556;10965768
0003-0001-0001;0003-0001;c;Podzadanie 3.1.1;Wspieranie programów aktywizacji;7861017;10045191;9958652
0003-0001-0002;0003-0001;c;Podzadanie 3.1.2;Wspieranie i modernizacja urzedów pracy;683600;667865;743116
0003-0001-0003;0003-0001;c;Podzadanie 3.1.3;Wspieranie i modernizacja instytucji rynku pracy z wyłączeniem publicznych służb zatrudnienia;6000;6000;6000
0003-0001-0004;0003-0001;c;Podzadanie 3.1.4;Kształtowanie zasad zatrudniania cudzoziemców;0;0;0
0003-0001-0005;0003-0001;c;Podzadanie 3.1.5;Zatrudnienie oraz przeciwdziałanie marginalizacji i wykluczeniu społecznemu młodzieży;170000;262500;258000
