ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
08;;Województwo;Lubuskie;;;;;;927469.63;927469.63;788349.18;788349.18;;;;;;;;;;;;;
08-05;08;Powiat;Powiat s³ubicki;;;;;;927469.63;927469.63;788349.18;788349.18;;;;;;;;;;;;;
08-05-1;08-05;Projekt;"Wymiana w drodze zakupu wyeksploatowanych ambulansów na nowe przez SPZOZ w S³ubicach w celu zachowania zasady ""z³otej godziny""";POIS.12.01.00-00-037/08-00;Program Operacyjny Infrastruktura i Œrodowisko;POIS.12.00.00;POIS.12.01.00;;927,469.63;927,469.63;788,349.18;788,349.18;Samodzielny Publiczny Zak³ad Opieki Zdrowotnej w S³ubicach;5981174327;69-100;S³ubice;Lubuskie;Powiat s³ubicki;76 Infrastruktura ochrony zdrowia;publiczny zak³ad opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-037/08-01;Tak;2009/10/15;2009/10/20
10;;Województwo;£ódzkie;;;;;;741557.52;644999.98;548249.98;548249.98;;;;;;;;;;;;;
10-14;10;Powiat;Powiat sieradzki;;;;;;741557.52;644999.98;548249.98;548249.98;;;;;;;;;;;;;
10-14-1;10-14;Projekt;Modernizacja systemu ratownictwa medycznego na terenie powiatu sieradzkiego poprzez zakup dwóch nowych karetek;POIS.12.01.00-00-055/08-00;Program Operacyjny Infrastruktura i Œrodowisko;POIS.12.00.00;POIS.12.01.00;;741,557.52;644,999.98;548,249.98;548,249.98;Samodzielny Publiczny Zak³ad Opieki Zdrowotnej im. Prymasa Kard. St. Wyszyñskiego ;8271831912;98-200;Sieradz;£ódzkie;Powiat sieradzki;76 Infrastruktura ochrony zdrowia;publiczny zak³ad opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-055/08-02-K01;Tak;2009/06/25;2009/07/06
32;;Województwo;Zachodniopomorskie;;;;;;1838521.07;1838521.07;1562742.9;1562742.9;;;;;;;;;;;;;
32-15;32;Powiat;Powiat szczecinecki;;;;;;760472.41;760472.41;646401.54;646401.54;;;;;;;;;;;;;
32-15-1;32-15;Projekt;Poprawa bezpieczeñstwa mieszkañców powiatu szczecineckiego - karetki ¿ycia;POIS.12.01.00-00-057/08-01;Program Operacyjny Infrastruktura i Œrodowisko;POIS.12.00.00;POIS.12.01.00;;760,472.41;760,472.41;646,401.54;646,401.54;Powiat Szczecinecki;6731630032;78-400;Szczecinek;Zachodniopomorskie;Powiat szczecinecki;76 Infrastruktura ochrony zdrowia;powiatowa samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;POIS.12.01.00-00-057/08-01;Tak;2009/10/09;2009/10/13
14;;Województwo;Mazowieckie;;;;;;3287160.05;3287160.05;2794086.03;2794086.03;;;;;;;;;;;;;
