ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
28;;Województwo;Warmińsko-mazurskie;;;;;;387238.44;387238.44;329152.67;329152.67;;;;;;;;;;;;;
28-1;28;Projekt;Zakup ambulansu na potrzeby podstawowego zespołu ratownictwa medycznego w Iławie szansą mieszkańców powiatu iławskiego na lepszy dostęp do świadczeń.;POIS.12.01.00-00-174/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;387,238.44;387,238.44;329,152.67;329,152.67;Powiatowy Szpital im. Władysława Biegańskiego w Iławie;7441484344;14-200;Iława;Warmińsko-mazurskie;Powiat iławski;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-174/08-01;Tak;2009/07/02;2009/07/17
04;;Województwo;Kujawsko-pomorskie;;;;;;24470129.18;24456671.17;24318749.12;24314544.54;;;;;;;;;;;;;
04-1;04;Projekt;"Poprawa efektywności systemu ochrony zdrowia poprzez zakup 2 karetek typu ""P"" przez Szpital Tucholski Sp. z o.o.";POIS.12.01.00-00-207/08-00;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;732,610.14;732,610.14;622,718.61;622,718.61;Szpital Tucholski Sp. z o.o.  ;5611455873;89-500;Tuchola;Kujawsko-pomorskie;Powiat tucholski;76 Infrastruktura ochrony zdrowia;niepubliczny zakład opieki zdrowotnej (w tym osoby prowadzące praktyki lekarskie/pielęgniarskie);00 Nie dotyczy;POIS.12.01.00-00-207/08-02;Tak;2009/06/30;2009/07/17
04-2;04;Projekt;Zakup nowoczesnego kolejowego taboru pasażerskiego;RPKP.01.03.00-04-001/08-02;Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego;RPKP.01.00.00;RPKP.01.03.00;;23,668,000.00;23,668,000.00;23,668,000.00;23,668,000.00;Samorząd Województwa Kujawsko-Pomorskiego;9561969536;87-100;Toruń;Kujawsko-pomorskie;Powiat m. Toruń / Powiat toruński;18 Tabor kolejowy;wspólnota samorządowa - województwo;01 Obszar miejski;RPKP.01.03.00-04-001/08-05-K02;Tak;2009/08/18;2009/08/25
04-3;04;Projekt;Udział w targach Polagra-Tech w dniach 14-18 września 2008 roku w Poznaniu (Polska).;RPKP.05.05.00-04-001/08-01;Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego;RPKP.05.00.00;RPKP.05.05.00;;69,519.04;56,061.03;28,030.51;23,825.93;"Centrum Obsługi Piekarstwa ""AKO"" S.A.";5541795835;85-744;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;08 Inne inwestycje w przedsiębiorstwa;spółka akcyjna - średnie przedsiębiorstwo;01 Obszar miejski;RPKP.05.05.00-04-001/08-01;Tak;2009/09/03;2009/09/04
10;;Województwo;Łódzkie;;;;;;192628348.6;192622328.46;192023593.99;126002824.98;;;;;;;;;;;;;
10-1;10;Projekt;Wsparcie techniczne Krajowego Systemu Ratowniczo-Gaśniczego poprzez doposażenie jednostek podległych Komendzie Wojewódzkiej Państwowej Straży Pożarnej w sprzęt ratowniczo-gaśniczy i ratownictwa chemiczno-ekologicznego;RPLD.02.05.00-00-007/08-01;Regionalny Program Operacyjny Województwa Łódzkiego;RPLD.02.00.00;RPLD.02.05.00;;3,997,580.00;3,991,559.86;3,392,825.39;3,392,825.39;Komenda Wojewódzka Państwowej Straży Pożarnej w Łodzi;7270134501;90-521;Łódź;Łódzkie;Powiat m. Łódź;53 Zapobieganie zagrożeniom (w tym opracowanie i wdrażanie planów i instrumentów zapobiegania i zarządzania zagrożeniami naturalnym i technologicznym);państwowa jednostka organizacyjna;05 Obszary wiejskie (poza obszarami górskimi, wyspami lub o niskiej i bardzo niskiej gęstości zaludnienia);RPLD.02.05.00-00-007/08-07;Nie;2009/10/27;2009/10/28
10-2;10;Projekt;Wsparcie przedsiębiorczości poprzez rozwój instrumentów inżynierii finansowej w ramach inicjatywy JEREMIE w województwie łódzkim.;RPLD.03.04.00-00-002/09-00;Regionalny Program Operacyjny Województwa Łódzkiego;RPLD.03.00.00;RPLD.03.04.00;;188,630,768.60;188,630,768.60;188,630,768.60;122,609,999.59;Bank Gospodarstwa Krajowego;5250012372;00-955;Warszawa;;;05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw;państwowa jednostka organizacyjna;01 Obszar miejski;RPLD.03.04.00-00-002/09-01;Nie;2009/09/25;2009/09/25
14;;Województwo;Mazowieckie;;;;;;59503662.75;59503662.75;50578113.33;50578113.33;;;;;;;;;;;;;
