"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.01.04.00-02-003/08-05";"Badania i rozwój technologii współspalania w kotłach na paliwo stałe Vulcan 300. PKWiU: 28.22.12-00.30 Kotły centralnego ogrzewania, ogrzewane paliwem stałym";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Dolnośląskie";"Powiat m. Wrocław";"M. Wrocław";"613,716.00";"527,850.00";"287,557.50";"244,423.88";"Vulcan Power Spółka z ograniczoną odpowiedzialnością";"8971727849";"50-072";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/09/25";"2009/12/29"
"POIG.01.04.00-04-006/08-03";"Opracowanie  oraz  wdrożenie do produkcji innowacyjnej centrali cyfrowej ITS-0206.
32.20.20-60.00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"M. Bydgoszcz";"146,213.00";"138,679.00";"62,405.55";"53,044.72";" ""SLICAN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"5540232202";"85-124";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-04-006/08-04";"Tak";"2009/08/18";"2009/09/02"
"POIG.01.04.00-06-002/09-00";"Przeprowadzenie prac badawczo-rozwojowych nad modułem sprężającym powietrze
oraz wdrożenie jego do produkcji sprężarek bezolejowych. (PKWiU: 28.13.32).";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Lubelskie";"Powiat lubelski";"Wojciechów";"631,510.00";"598,240.00";"309,378.00";"262,971.30";"Przedsiębiorstwo Wdrażania Innowacji Pantera";"1250040751";"05-220";"Zielonka";"Mazowieckie";"Powiat wołomiński";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"osoba fizyczna prowadząca działalność gospodarczą - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/12/21";"2009/12/31"
"POIG.01.04.00-10-014/09-00";"Innowacyjny dodatek paszowy zapobiegający salmonellozie u zwierząt hodowlanych (PKWiU 72.11.11.0).";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Łódzkie";"Powiat m. Łódź";"M. Łódź";"2,575,320.00";"2,343,000.00";"1,541,475.00";"1,310,253.75";"Proteon Pharmaceuticals Spółka z ograniczoną odpowiedzialnością";"7282570596";"90-364";"Łódź";"Łódzkie";"Powiat m. Łódź";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-10-014/09-01";"Nie";"2009/10/23";"2009/10/29"
"POIG.01.04.00-12-008/09-00";"Wzrost innowacyjnosci FAKRO - badania i wdrożenie nowoczesnych rozwiązań okiennych (PKWiU 16.23.11)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Małopolskie";"Powiat m. Nowy Sącz";"M. Nowy Sącz";"478,020.00";"436,000.00";"109,000.00";"92,650.00";"Fakro PP spółka z ograniczona odpowiedzialnością ";"7342887530";"33-300";"Nowy Sącz";"Małopolskie";"Powiat m. Nowy Sącz / Powiat nowosądecki";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-12-008/09-05";"Nie";"2009/11/16";"2009/11/24"
"POIG.01.04.00-12-016/08-04";"Badania przemysłowe i rozwojowe nad wdrożeniem energooszczędnych pomp ciepła (29.23.12-73.90)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Małopolskie";"Powiat m. Kraków";"M. Kraków";"891,043.72";"778,843.72";"440,546.08";"374,464.17";"WSK KRAKÓW Spółka z ograniczoną odpowiedzialnością";"6772241563";"30-011";"Kraków";"Małopolskie";"Powiat m. Kraków";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/10/14";"2009/11/02"
"POIG.01.04.00-16-004/09-00";"Rozwój i wdrożenie innowacyjnej technologii produkcji ekologicznego peletu ze słomy";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Opolskie";"Powiat kędzierzyńsko-kozielski";"Pawłowiczki";"459,442.00";"426,610.00";"200,805.00";"170,684.25";"Karol Kania i Synowie Sp. z o.o. ";"6381585761";"43-211";"Piasek";"Śląskie";"Powiat pszczyński";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2009/12/14";"2010/01/05"
"POIG.01.04.00-22-022/09-02";"Opracowanie innowacyjnej receptury i wdrożenie do produkcji preparatu stosowanego w leczeniu grzybic.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Pomorskie";"Powiat starogardzki";"Starogard Gdański - miasto";"4,763,761.42";"4,734,037.00";"1,403,389.25";"1,192,880.86";"ZAKŁADY FARMACEUTYCZNE POLPHARMA SPÓŁKA AKCYJNA";"5920202822";"83-200";"Starogard Gdański";"Pomorskie";"Powiat starogardzki";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-22-022/09-08";"Nie";"2009/09/22";"2010/12/15"
"POIG.01.04.00-30-001/08-02";"Wzrost innowacyjności MobileBox poprzez stworzenie inteligentnego systemu monitoringu i zarządzania obiektami
PKWiU 31.62.11";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.04.00";"";"Wielkopolskie";"Powiat m. Poznań";"M. Poznań";"367,352.00";"362,600.00";"163,170.00";"138,694.50";"MOBILE BOX Sp. z o.o.";"7781402569";"61-112";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"04 Wsparcie na rzecz rozwoju B+RT, w szczególności w MŚP (w tym dostęp do usług związanych z B+RT w ośrodkach badawczych)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.01.04.00-30-001/08-02";"Tak";"2009/12/18";"2010/01/05"
"POIG.03.03.02-00-009/08-03";"Bifalina – pozyskanie zewnętrznego inwestora poprzez debiut na rynku NewConnect firmy spin-off";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Mazowieckie";"Powiat m. st. Warszawa";"M. st. Warszawa";"274,230.00";"218,000.00";"109,000.00";"92,650.00";"Action for Development of Research Sp. z o.o.";"5252412443";"00-355";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-009/08-03";"Tak";"2009/11/25";"2009/12/01"
