"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.04.05.02-00-090/09-01";"Rozwój centrum IT kluczem do wdrożenia nowych rozwiązań biznesowych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.05.00";"POIG.04.05.02";"Mazowieckie";"Powiat m. st. Warszawa";"";"6,935,807.86";"6,742,920.00";"2,022,876.00";"1,719,444.60";"SII ";"5252352907";"02-512";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/05/18";"2011/05/23"
"POIG.05.01.00-00-007/08-08";"Rozwój powiązań kooperacyjnych Klastra NUTRIBIOMED zmierzających do komercjalizacji innowacyjnych rozwiązań";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.01.00";"";"Dolnośląskie";"Powiat wrocławski";"";"13,138,380.00";"10,829,000.00";"10,658,950.00";"9,060,107.50";"Wrocławski Park Technologiczny S.A.";"8992218633";"54-424";"Wrocław";"";"";"03 Transfer technologii i udoskonalanie sieci współpracy między MŚP, między MŚP a innymi przedsiębiorstwami, uczelniami, wszelkiego rodzaju instytucjami na poziomie szkolnictwa pomaturalnego, władzami regionalnymi, ośrodkami badawczymi oraz biegunami naukowymi i technologicznymi (parkami naukowymi i technologicznymi, technopoliami itd.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.01.00-00-007/08-14";"Tak";"2011/04/20";"2011/05/30"
"POIG.08.03.00-02-096/09-00";"Złota sieć - Przeciwdziałanie wykluczeniu cyfrowemu w powiecie złotoryjskim";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"Dolnośląskie";"Powiat złotoryjski";"";"3,072,346.00";"3,072,346.00";"2,611,494.10";"2,219,769.98";"powiat złotoryjski";"6941533157";"59-500";"Złotoryja";"Dolnośląskie";"Powiat złotoryjski";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"wspólnota samorządowa - powiat";"00 Nie dotyczy";"";"";"2011/02/04";"2011/02/10"
"POIG.08.03.00-06-049/10-00";"Przeciwdziałanie wykluczeniu cyfrowemu w województwie lubelskim";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"Lubelskie";"Powiat puławski";"";"1,085,026.18";"1,085,026.18";"922,272.25";"783,931.41";"Województwo Lubelskie";"7122410470";"20-074";"Lublin";"Lubelskie";"Powiat m. Lublin";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"wspólnota samorządowa";"00 Nie dotyczy";"";"";"2011/02/10";"2011/03/11"
"POIG.08.03.00-06-049/10-00";"Przeciwdziałanie wykluczeniu cyfrowemu w województwie lubelskim";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"Lubelskie";"Powiat świdnicki";"";"1,085,026.18";"1,085,026.18";"922,272.25";"783,931.41";"Województwo Lubelskie";"7122410470";"20-074";"Lublin";"Lubelskie";"Powiat m. Lublin";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"wspólnota samorządowa";"00 Nie dotyczy";"";"";"2011/02/10";"2011/03/11"
"POIG.08.03.00-14-016/08-06";"""Zmienimy Twój los - przeciwdziałanie wykluczeniu cyfrowemu na terenie powiatu olsztyńskiego""";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.03.00";"";"Warmińsko-mazurskie";"Powiat olsztyński";"";"1,805,565.48";"1,803,765.48";"1,533,200.66";"1,303,220.56";"Fundacja Edukacji Ekonomicznej";"5261649498";"00-024";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"fundacja";"00 Nie dotyczy";"POIG.08.03.00-14-016/08-06";"Nie";"2011/01/31";"2011/05/06"
"POIG.08.04.00-22-202/10-00";"Szerokopasmowy Internet dla 5 gmin z powiatu lęborskiego i słupskiego na etapie ostatniej mili.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.04.00";"";"Pomorskie";"Powiat lęborski";"";"1,769,890.60";"1,450,730.00";"870,438.00";"739,872.30";"Profit Group Sp. z o.o.";"5252354154";"00-052";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/03/07";"2011/03/11"
"POIG.08.04.00-22-202/10-00";"Szerokopasmowy Internet dla 5 gmin z powiatu lęborskiego i słupskiego na etapie ostatniej mili.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.08.00.00";"POIG.08.04.00";"";"Pomorskie";"Powiat słupski";"";"1,769,890.60";"1,450,730.00";"870,438.00";"739,872.30";"Profit Group Sp. z o.o.";"5252354154";"00-052";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/03/07";"2011/03/11"
"POIS.02.01.00-00-014/09-02";"Rozbudowa i modernizacja Zakładu Utylizacji Odpadów w Gorzowie Wlkp., ul. Małyszyńska 180";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Lubuskie";"Powiat gorzowski";"";"12,471,592.29";"6,659,869.19";"5,660,888.81";"5,660,888.81";"Zakład Utylizacji Odpadów Sp. z o.o. w Gorzowie Wlkp.";"5990206400";"66-400";"Gorzów Wlkp.";"Lubuskie";"Powiat gorzowski / Powiat m. Gorzów Wielkopolski";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.02.01.00-00-014/09-04";"Nie";"2011/04/08";"2011/04/08"
"POIS.05.01.00-00-170/09-00";"Szlak Lasów Miejskich Krakowa - ochrona najcenniejszych biocenoz przed nadmierną presją turystów";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"Powiat m. Kraków";"";"976,026.12";"801,546.00";"681,314.10";"681,314.10";"Fundacja Miejski Park i Ogród Zoologiczny w Krakowie";"6770052355";"30-232";"Kraków";"Małopolskie";"Powiat m. Kraków";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-170/09-01";"Nie";"2011/02/23";"2011/02/28"
