"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.12.01.00-00-174/08-00";"Zakup ambulansu na potrzeby podstawowego zespołu ratownictwa medycznego w Iławie szansą mieszkańców powiatu iławskiego na lepszy dostęp do świadczeń.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Warmińsko-mazurskie";"";"";"387,238.44";"387,238.44";"329,152.67";"329,152.67";"Powiatowy Szpital im. Władysława Biegańskiego w Iławie";"7441484344";"14-200";"Iława";"Warmińsko-mazurskie";"Powiat iławski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-174/08-01";"Tak";"2009/07/02";"2009/07/17"
"POIS.12.01.00-00-207/08-00";"Poprawa efektywności systemu ochrony zdrowia poprzez zakup 2 karetek typu ""P"" przez Szpital Tucholski Sp. z o.o.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Kujawsko-pomorskie";"";"";"732,610.14";"732,610.14";"622,718.61";"622,718.61";"Szpital Tucholski Sp. z o.o.  ";"5611455873";"89-500";"Tuchola";"Kujawsko-pomorskie";"Powiat tucholski";"76 Infrastruktura ochrony zdrowia";"niepubliczny zakład opieki zdrowotnej (w tym osoby prowadzące praktyki lekarskie/pielęgniarskie)";"00 Nie dotyczy";"POIS.12.01.00-00-207/08-02";"Tak";"2009/06/30";"2009/07/17"
"RPKP.01.03.00-04-001/08-02";"Zakup nowoczesnego kolejowego taboru pasażerskiego";"Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego";"RPKP.01.00.00";"RPKP.01.03.00";"";"Kujawsko-pomorskie";"";"";"23,668,000.00";"23,668,000.00";"23,668,000.00";"23,668,000.00";"Samorząd Województwa Kujawsko-Pomorskiego";"9561969536";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"18 Tabor kolejowy";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPKP.01.03.00-04-001/08-05-K02";"Tak";"2009/08/18";"2009/08/25"
"RPKP.05.05.00-04-001/08-01";"Udział w targach Polagra-Tech w dniach 14-18 września 2008 roku w Poznaniu (Polska).";"Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego";"RPKP.05.00.00";"RPKP.05.05.00";"";"Kujawsko-pomorskie";"";"";"69,519.04";"56,061.03";"28,030.51";"23,825.93";"Centrum Obsługi Piekarstwa ""AKO"" S.A.";"5541795835";"85-744";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"08 Inne inwestycje w przedsiębiorstwa";"spółka akcyjna - średnie przedsiębiorstwo";"01 Obszar miejski";"RPKP.05.05.00-04-001/08-01";"Tak";"2009/09/03";"2009/09/04"
"RPLD.02.05.00-00-007/08-01";"Wsparcie techniczne Krajowego Systemu Ratowniczo-Gaśniczego poprzez doposażenie jednostek podległych Komendzie Wojewódzkiej Państwowej Straży Pożarnej w sprzęt ratowniczo-gaśniczy i ratownictwa chemiczno-ekologicznego";"Regionalny Program Operacyjny Województwa Łódzkiego";"RPLD.02.00.00";"RPLD.02.05.00";"";"Łódzkie";"";"";"3,997,580.00";"3,991,559.86";"3,392,825.39";"3,392,825.39";"Komenda Wojewódzka Państwowej Straży Pożarnej w Łodzi";"7270134501";"90-521";"Łódź";"Łódzkie";"Powiat m. Łódź";"53 Zapobieganie zagrożeniom (w tym opracowanie i wdrażanie planów i instrumentów zapobiegania i zarządzania zagrożeniami naturalnym i technologicznym)";"państwowa jednostka organizacyjna";"05 Obszary wiejskie (poza obszarami górskimi, wyspami lub o niskiej i bardzo niskiej gęstości zaludnienia)";"RPLD.02.05.00-00-007/08-07";"Nie";"2009/10/27";"2009/10/28"
"RPLD.03.04.00-00-002/09-00";"Wsparcie przedsiębiorczości poprzez rozwój instrumentów inżynierii finansowej w ramach inicjatywy JEREMIE w województwie łódzkim.";"Regionalny Program Operacyjny Województwa Łódzkiego";"RPLD.03.00.00";"RPLD.03.04.00";"";"Łódzkie";"";"";"188,630,768.60";"188,630,768.60";"188,630,768.60";"122,609,999.59";"Bank Gospodarstwa Krajowego";"5250012372";"00-955";"Warszawa";"";"";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"państwowa jednostka organizacyjna";"01 Obszar miejski";"RPLD.03.04.00-00-002/09-01";"Nie";"2009/09/25";"2009/09/25"
"RPMA.08.01.00-14-001/09-02";"ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ UMWM na 2009 rok w zakresie wsparcia procesów zarządzania i wdrażania RPO WM";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"Mazowieckie";"";"";"5,826,264.00";"5,826,264.00";"4,952,324.40";"4,952,324.40";"Urząd Marszałkowski Województwa Mazowieckiego";"5252087227";"03-719";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-001/09-05";"Tak";"2009/11/03";"2009/11/18"
"RPMA.08.01.00-14-002/08-02";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEÓDZTWA MAZOWIECKIEGO  2007 - 2013. CZĘŚĆ B PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2008 r.";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"Mazowieckie";"";"";"14,550,795.00";"14,550,795.00";"12,368,175.75";"12,368,175.75";"Mazowiecka Jednostka Wdrażania Programów Unijnych";"1132669019";"03-301";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-002/08-07";"Tak";"2009/02/24";"2009/02/26"
"RPMA.08.01.00-14-007/09-03";"ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ MJWPU na 2009 r. w zakresie wsparcia procesów wdrażania RPO WM";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"Mazowieckie";"";"";"27,993,392.75";"27,993,392.75";"23,794,383.83";"23,794,383.83";"Mazowiecka Jednostka Wdrażania Programów Unijnych";"1132669019";"03-301";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-007/09-06-K03";"Tak";"2009/11/24";"2009/12/08"
"RPMA.08.02.00-14-003/08-02";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO 2007 - 2013. CZĘŚĆ B PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2008 r.";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.02.00";"";"Mazowieckie";"";"";"1,798,115.00";"1,798,115.00";"1,528,397.75";"1,528,397.75";"Mazowiecka Jednostka Wdrażania Programów Unijnych";"1132669019";"03-301";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.02.00-14-003/08-07";"Tak";"2009/02/24";"2009/02/26"
